,name,cid
0,Methylbutenedioic acid,874
1,"2,4-Dinitrophenol",1493
2,Dichlobenil,3031
3,6-Dimethylaminopurine,3134
4,Allyl isocyanate,15123
5,"1,3-Dichloronaphthalene",16618
6,Allyl isovalerate,17816
7,N-Ethyl-4-nitroaniline,19318
8,Ro 16-6491,4289
9,Methyl-[6-[methyl-[nitroso(oxido)amino]amino]hexyl]azanium,4524
10,Thiotepa,5453
11,"2,4,6-Trichlorophenol",6914
12,O-Xylene,7237
13,4-Ethoxybutanol,8131
14,1-Chloroheptane,12371
15,"2,2-Dimethylheptane",14062
16,"1,2,3,5-Tetrafluorobenzene",16910
17,4-Phenoxypiperidine,18878
18,Unii-K8704486G1,21367
19,Bis((cyanomethyl)ammonium) sulphate,21628
20,"4-chloro-6-methyl-N-phenyl-1,3,5-triazin-2-amine",22373
21,Hexyl Salicylate,22629
22,Myristicin,4276
23,"2-Amino-1-cyclohexyl-6-methyl-3,4-heptanediol",4710
24,Tribromoacetate,6414
25,Choline Bitartrate,6900
26,"2,4-Dimethylaniline",7250
27,"2(3H)-Furanone, dihydro-5-undecyl-",7785
28,Pentaerythritol,8285
29,Monuron,8800
30,"3,7-Dimethylocta-2,6-Dienal",8843
31,4-Bromobenzoic acid,11464
32,1-Bromo-4-nitrobenzene,11466
33,Ethanesulfonic acid,11668
34,Dimethylmalonic acid,11686
35,"2(3H)-Thiophenone, dihydro-",13852
36,"2,5-Dichlorophenol",66
37,2-Amino-4-oxopentanoic acid,423
38,4-Hydroxy-2-oxoglutaric acid,599
39,Nitroxyl,945
40,"1-Amino-1,3-cyclobutanedicarboxylic acid",1214
41,Amantadine,2130
42,"2,3,4,5-Tetrahydroxypentyl dihydrogen phosphate",2219
43,(3-Methyloxiran-2-yl)phosphonate,3421
44,Gabapentin,3446
45,Indole-3-Carbinol,3712
46,alpha-(1-Aminoethyl)-3-hydroxybenzenemethanol,4087
47,"1,6-Dibromo-1,6-dideoxyhexitol",4208
48,Vinylidene fluoride,6369
49,2-Chlorobenzaldehyde,6996
50,Ethylmorpholine,7525
51,Isoamyl phenylacetate,7600
52,"N,N-Dimethylbenzylamine",7681
53,"2,5-Dimethylpiperazine",7816
54,Triglyme,8189
55,Phenylethyl isovalerate,8792
56,(+-)-Adrenaline hydrochloride,9489
57,Bromodichlorofluoromethane,9624
58,"Acetamide, 2-fluoro-N-isobutyl-",9733
59,4-Fluorobutan-1-ol,9755
60,Olivetol,10377
61,"Pyridoxamine, dihydrochloride",10664
62,Ethyl thiocyanate,10968
63,2-Methyl-3-pentanone,11265
64,7407-59-2,874
65,DTXSID20862046,874
66,Methylbutenedioic acid,874
67,RefChem:1089672,874
68,DTXCID50810873,874
69,231-014-7,874
70,2-Methyl-2-butenedioic acid,874
71,2-methylbut-2-enedioic acid,874
72,Citronic acid; Methylfumaric acid,874
73,SCHEMBL5894,874
74,SCHEMBL7973761,874
75,SCHEMBL7973763,874
76,HNEGQIOMVPPMNR-UHFFFAOYSA-N,874
77,AKOS033199661,874
78,NS00082008,874
79,"2,4-dinitrophenol",1493
80,51-28-5,1493
81,Aldifen,1493
82,Nitrophene,1493
83,Dinofan,1493
84,"Phenol, 2,4-dinitro-",1493
85,Fenoxyl carbon N,1493
86,Solfo Black B,1493
87,Tertrosulphur PBR,1493
88,alpha-Dinitrophenol,1493
89,Solfo Black G,1493
90,Nitro kleenup,1493
91,"1-Hydroxy-2,4-dinitrobenzene",1493
92,Chemox PE,1493
93,Solfo Black BB,1493
94,Solfo Black SB,1493
95,Dinitrofenolo,1493
96,"2,4-Dnp",1493
97,Tertrosulphur Black PB,1493
98,Solfo Black 2B Supra,1493
99,"2,4-Dinitrofenol",1493
100,Maroxol-50,1493
101,Osmoplastic-R,1493
102,Osmotox-Plus,1493
103,Chemox,1493
104,Mitcal,1493
105,Camello mosquito coils,1493
106,Caswell No. 392,1493
107,NSC 1532,1493
108,"Phenol, alpha-dinitro-",1493
109,EK 102,1493
110,"1'alpha-2,4-Dinitrophenol",1493
111,Shirakiku brand mosquito coils,1493
112,DTXSID0020523,1493
113,NSC-1532,1493
114,Q13SKS21MN,1493
115,Fenoxyl,1493
116,CHEBI:42017,1493
117,DTXCID80523,1493
118,"2,4 Dinitrophenol",1493
119,"phenol, 2,4-dinitro",1493
120,RefChem:82580,1493
121,200-087-7,1493
122,Nitrophen,1493
123,DINITROPHENOL,1493
124,.alpha.-Dinitrophenol,1493
125,RCRA waste number P048,1493
126,"2,4-dinitro-phenol",1493
127,X 32,1493
128,MFCD00007115,1493
129,Tertrosulfur pbr,1493
130,"Phenol, .alpha.-dinitro-",1493
131,"1,3-DINITRO-4-HYDROXYBENZENE",1493
132,"2,4-dinitrophenol (h2o w/w 18% max)",1493
133,Tertrosulfur black pb,1493
134,Nitrophen (VAN),1493
135,DNF,1493
136,Nitrophene (VAN),1493
137,"PHEN-2,3,5-D3-OL,4,6-DINITRO- (9CI)",1493
138,"2,4-Dinitrophenol (Wetted with up to 20per cent water)",1493
139,tatephosphate,1493
140,Dinitrofenolo [Italian],1493
141,CAS-51-28-5,1493
142,"2,4-Dinitrofenol [Dutch]",1493
143,CCRIS 3102,1493
144,HSDB 529,1493
145,"2,4-Dinitrophenol (wetted with water >15%)",1493
146,EINECS 200-087-7,1493
147,RCRA waste no. P048,1493
148,UNII-Q13SKS21MN,1493
